name,term,freq,prediction_length,domain,trend,seasonal_strength,entropy,hurst,stability,lumpiness,pred_crps
cmip6_1875,long,6H,720,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526,0.112148166
cmip6_1905,short,6H,48,Climate,0.7719097,0.5692952,0.39426395,0.9422791,0.38186103,0.30808526,0.112148166
cmip6_1905,medium,6H,480,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526,0.112148166
cmip6_1905,long,6H,720,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526,0.112148166
borg_cluster_data_2011,short,5T,48,CloudOps,0.63653123,0.25985458,0.51645976,0.7403713,0.3790222,0.6063648,0.32845262
borg_cluster_data_2011,medium,5T,480,CloudOps,0.67684007,0.19990005,0.43681845,0.72667664,0.391093,0.51744455,0.33259353
borg_cluster_data_2011,long,5T,720,CloudOps,0.6692878,0.20028655,0.43681845,0.735924,0.38462755,0.51744455,0.33259353
tourism_yearly,short,A,6,Econ/Fin,0.842541,0.23947196,0.5333081,0.88995534,0.644888,0.6063648,0.1335627
tourism_yearly,medium,A,60,Econ/Fin,0.8383012,0.18288171,0.39978474,0.8690708,0.644888,0.51744455,0.11267476
tourism_yearly,long,A,90,Econ/Fin,0.8383012,0.18288171,0.39978474,0.8690708,0.644888,0.51744455,0.11267476
traffic_weekly,short,W,8,Transport,0.6539432,0.33067766,0.68192923,0.70387816,0.45046398,1.5422539,0.5468949
traffic_weekly,medium,W,80,Transport,0.814884,0.31185076,0.4545836,0.62738603,0.56315064,0.39197034,0.2733031
traffic_weekly,long,W,120,Transport,0.814884,0.31185076,0.4545836,0.62738603,0.56315064,0.39197034,0.2733031
largest_2018,short,5T,48,Transport,0.47829548,0.4515761,0.5220687,0.7501785,0.404455,1.2020383,0.5468949
largest_2018,medium,5T,480,Transport,0.8399173,0.4509209,0.34391308,0.9300689,0.5163347,0.44406113,0.112148166
largest_2018,long,5T,720,Transport,0.77746755,0.45257,0.34391308,0.816425,0.50986934,1.3671979,0.5468949
pems07,short,5T,48,Transport,0.47829548,0.4515761,0.5220687,0.7501785,0.404455,1.2020383,0.5468949
pems07,medium,5T,480,Transport,0.8399173,0.4509209,0.34391308,0.9300689,0.5163347,0.44406113,0.112148166
pems07,long,5T,720,Transport,0.77746755,0.45257,0.34391308,0.816425,0.50986934,1.3671979,0.5468949
era5_2001,short,H,48,Climate,0.6770571,0.64366764,0.39426395,0.65876096,0.38186103,0.30808526,0.2161334
era5_2001,medium,H,480,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526,0.2303591
era5_2001,long,H,720,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526,0.2303591
